ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento09	rendimiento09	1591090547686	 	3.3.1
REQUEST	39		Login	1591090558934	1591090558936	OK	 
USER	rendimiento09	77	START	1591090558988	1591090558988
REQUEST	77		Home	1591090558990	1591090559001	OK	 
REQUEST	40		Login	1591090559051	1591090559055	OK	 
REQUEST	1		Logged	1591090559059	1591090559068	OK	 
REQUEST	1		Logged Redirect 1	1591090559075	1591090559078	OK	 
REQUEST	2		Logged	1591090559081	1591090559083	OK	 
REQUEST	2		Logged Redirect 1	1591090559084	1591090559087	OK	 
USER	rendimiento09	78	START	1591090559121	1591090559121
REQUEST	78		Home	1591090559122	1591090559126	OK	 
REQUEST	41		Login	1591090559177	1591090559180	OK	 
REQUEST	3		Logged	1591090559187	1591090559190	OK	 
REQUEST	3		Logged Redirect 1	1591090559191	1591090559195	OK	 
USER	rendimiento09	79	START	1591090559237	1591090559237
REQUEST	79		Home	1591090559239	1591090559248	OK	 
REQUEST	4		Logged	1591090559323	1591090559328	OK	 
REQUEST	4		Logged Redirect 1	1591090559330	1591090559336	OK	 
REQUEST	42		Login	1591090559337	1591090559341	OK	 
USER	rendimiento09	80	START	1591090559366	1591090559366
REQUEST	80		Home	1591090559368	1591090559380	OK	 
REQUEST	5		Logged	1591090559428	1591090559430	OK	 
REQUEST	5		Logged Redirect 1	1591090559430	1591090559433	OK	 
REQUEST	43		Login	1591090559471	1591090559473	OK	 
USER	rendimiento09	81	START	1591090559490	1591090559490
REQUEST	81		Home	1591090559492	1591090559500	OK	 
REQUEST	6		Logged	1591090559579	1591090559583	OK	 
REQUEST	6		Logged Redirect 1	1591090559585	1591090559590	OK	 
USER	rendimiento09	82	START	1591090559617	1591090559617
REQUEST	44		Login	1591090559618	1591090559621	OK	 
REQUEST	82		Home	1591090559619	1591090559631	OK	 
REQUEST	7		Logged	1591090559687	1591090559688	OK	 
REQUEST	7		Logged Redirect 1	1591090559689	1591090559691	OK	 
USER	rendimiento09	83	START	1591090559737	1591090559737
REQUEST	83		Home	1591090559737	1591090559743	OK	 
REQUEST	45		Login	1591090559767	1591090559770	OK	 
REQUEST	8		Logged	1591090559809	1591090559813	OK	 
REQUEST	8		Logged Redirect 1	1591090559814	1591090559817	OK	 
USER	rendimiento09	84	START	1591090559869	1591090559869
REQUEST	84		Home	1591090559870	1591090559876	OK	 
REQUEST	46		Login	1591090559901	1591090559904	OK	 
REQUEST	9		Logged	1591090559943	1591090559945	OK	 
REQUEST	9		Logged Redirect 1	1591090559947	1591090559951	OK	 
USER	rendimiento09	85	START	1591090560017	1591090560017
REQUEST	85		Home	1591090560018	1591090560075	OK	 
REQUEST	47		Login	1591090560048	1591090560075	OK	 
REQUEST	10		Logged	1591090560079	1591090560080	OK	 
REQUEST	10		Logged Redirect 1	1591090560081	1591090560084	OK	 
REQUEST	48		Login	1591090560161	1591090560162	OK	 
USER	rendimiento09	86	START	1591090560171	1591090560171
REQUEST	86		Home	1591090560172	1591090560175	OK	 
REQUEST	11		Logged	1591090560218	1591090560221	OK	 
REQUEST	11		Logged Redirect 1	1591090560223	1591090560227	OK	 
REQUEST	49		Login	1591090560290	1591090560293	OK	 
USER	rendimiento09	87	START	1591090560309	1591090560309
REQUEST	87		Home	1591090560310	1591090560320	OK	 
REQUEST	12		Logged	1591090560381	1591090560385	OK	 
REQUEST	12		Logged Redirect 1	1591090560387	1591090560393	OK	 
REQUEST	50		Login	1591090560411	1591090560414	OK	 
USER	rendimiento09	88	START	1591090560450	1591090560450
REQUEST	88		Home	1591090560451	1591090560456	OK	 
REQUEST	13		Logged	1591090560508	1591090560511	OK	 
REQUEST	13		Logged Redirect 1	1591090560512	1591090560517	OK	 
REQUEST	51		Login	1591090560528	1591090560532	OK	 
USER	rendimiento09	89	START	1591090560590	1591090560590
REQUEST	89		Home	1591090560592	1591090560604	OK	 
REQUEST	14		Logged	1591090560648	1591090560651	OK	 
REQUEST	14		Logged Redirect 1	1591090560654	1591090560660	OK	 
REQUEST	52		Login	1591090560659	1591090560662	OK	 
