ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento30	rendimiento30	1591122628344	 	3.3.1
REQUEST	76		Home	1591122632449	1591122632453	OK	 
USER	rendimiento30	77	START	1591122632489	1591122632489
REQUEST	77		Home	1591122632491	1591122632498	OK	 
USER	rendimiento30	78	START	1591122632529	1591122632529
REQUEST	78		Home	1591122632531	1591122632538	OK	 
USER	rendimiento30	79	START	1591122632572	1591122632572
REQUEST	79		Home	1591122632574	1591122632581	OK	 
USER	rendimiento30	80	START	1591122632613	1591122632613
REQUEST	80		Home	1591122632614	1591122632618	OK	 
USER	rendimiento30	81	START	1591122632648	1591122632648
REQUEST	81		Home	1591122632649	1591122632652	OK	 
USER	rendimiento30	82	START	1591122632688	1591122632688
REQUEST	82		Home	1591122632690	1591122632700	OK	 
USER	rendimiento30	83	START	1591122632728	1591122632728
REQUEST	83		Home	1591122632730	1591122632740	OK	 
USER	rendimiento30	84	START	1591122632769	1591122632769
REQUEST	84		Home	1591122632770	1591122632774	OK	 
USER	rendimiento30	85	START	1591122632810	1591122632810
REQUEST	85		Home	1591122632811	1591122632816	OK	 
USER	rendimiento30	86	START	1591122632851	1591122632851
REQUEST	86		Home	1591122632853	1591122632865	OK	 
USER	rendimiento30	87	START	1591122632891	1591122632891
REQUEST	87		Home	1591122632892	1591122632896	OK	 
USER	rendimiento30	88	START	1591122632931	1591122632931
REQUEST	88		Home	1591122632932	1591122632936	OK	 
USER	rendimiento30	89	START	1591122632972	1591122632972
REQUEST	89		Home	1591122632974	1591122632983	OK	 
USER	rendimiento30	90	START	1591122633008	1591122633008
REQUEST	90		Home	1591122633009	1591122633014	OK	 
USER	rendimiento30	91	START	1591122633049	1591122633049
REQUEST	91		Home	1591122633050	1591122633056	OK	 
USER	rendimiento30	92	START	1591122633089	1591122633089
REQUEST	92		Home	1591122633090	1591122633099	OK	 
USER	rendimiento30	93	START	1591122633131	1591122633131
REQUEST	93		Home	1591122633132	1591122633141	OK	 
USER	rendimiento30	94	START	1591122633172	1591122633172
REQUEST	94		Home	1591122633174	1591122633183	OK	 
USER	rendimiento30	95	START	1591122633208	1591122633208
REQUEST	95		Home	1591122633210	1591122633219	OK	 
USER	rendimiento30	96	START	1591122633249	1591122633249
REQUEST	96		Home	1591122633251	1591122633262	OK	 
USER	rendimiento30	97	START	1591122633289	1591122633289
REQUEST	97		Home	1591122633291	1591122633300	OK	 
USER	rendimiento30	98	START	1591122633330	1591122633330
REQUEST	98		Home	1591122633332	1591122633341	OK	 
USER	rendimiento30	99	START	1591122633371	1591122633371
REQUEST	99		Home	1591122633373	1591122633382	OK	 
USER	rendimiento30	100	START	1591122633412	1591122633412
REQUEST	100		Home	1591122633414	1591122633422	OK	 
USER	rendimiento30	101	START	1591122633448	1591122633448
REQUEST	101		Home	1591122633449	1591122633453	OK	 
USER	rendimiento30	102	START	1591122633478	1591122633478
REQUEST	102		Home	1591122633479	1591122633483	OK	 
USER	rendimiento30	103	START	1591122633518	1591122633518
REQUEST	103		Home	1591122633519	1591122633523	OK	 
USER	rendimiento30	104	START	1591122633559	1591122633559
REQUEST	104		Home	1591122633559	1591122633566	OK	 
USER	rendimiento30	105	START	1591122633599	1591122633599
REQUEST	105		Home	1591122633600	1591122633604	OK	 
USER	rendimiento30	106	START	1591122633640	1591122633640
REQUEST	106		Home	1591122633641	1591122633645	OK	 
USER	rendimiento30	107	START	1591122633682	1591122633682
REQUEST	107		Home	1591122633683	1591122633686	OK	 
USER	rendimiento30	108	START	1591122633722	1591122633722
REQUEST	108		Home	1591122633724	1591122633730	OK	 
USER	rendimiento30	109	START	1591122633762	1591122633762
REQUEST	109		Home	1591122633763	1591122633767	OK	 
USER	rendimiento30	110	START	1591122633803	1591122633803
REQUEST	110		Home	1591122633804	1591122633808	OK	 
USER	rendimiento30	111	START	1591122633843	1591122633843
REQUEST	111		Home	1591122633844	1591122633848	OK	 
USER	rendimiento30	112	START	1591122633878	1591122633878
REQUEST	112		Home	1591122633879	1591122633883	OK	 
USER	rendimiento30	113	START	1591122633918	1591122633918
REQUEST	113		Home	1591122633919	1591122633923	OK	 
USER	rendimiento30	114	START	1591122633958	1591122633958
REQUEST	114		Home	1591122633959	1591122633962	OK	 
USER	rendimiento30	115	START	1591122633999	1591122633999
REQUEST	115		Home	1591122633999	1591122634003	OK	 
USER	rendimiento30	116	START	1591122634039	1591122634039
REQUEST	116		Home	1591122634040	1591122634046	OK	 
USER	rendimiento30	117	START	1591122634080	1591122634080
REQUEST	117		Home	1591122634081	1591122634090	OK	 
USER	rendimiento30	118	START	1591122634119	1591122634119
REQUEST	118		Home	1591122634120	1591122634126	OK	 
USER	rendimiento30	119	START	1591122634159	1591122634159
REQUEST	119		Home	1591122634160	1591122634166	OK	 
USER	rendimiento30	120	START	1591122634199	1591122634199
REQUEST	120		Home	1591122634201	1591122634209	OK	 
USER	rendimiento30	121	START	1591122634240	1591122634240
REQUEST	121		Home	1591122634241	1591122634250	OK	 
USER	rendimiento30	122	START	1591122634282	1591122634282
REQUEST	122		Home	1591122634284	1591122634294	OK	 
USER	rendimiento30	123	START	1591122634322	1591122634322
REQUEST	123		Home	1591122634324	1591122634336	OK	 
USER	rendimiento30	124	START	1591122634358	1591122634358
REQUEST	124		Home	1591122634359	1591122634363	OK	 
USER	rendimiento30	125	START	1591122634400	1591122634400
REQUEST	125		Home	1591122634401	1591122634406	OK	 
USER	rendimiento30	127	START	1591122634468	1591122634468
USER	rendimiento30	126	START	1591122634440	1591122634440
REQUEST	127		Home	1591122634469	1591122634476	OK	 
REQUEST	126		Home	1591122634470	1591122634476	OK	 
USER	rendimiento30	128	START	1591122634508	1591122634508
REQUEST	128		Home	1591122634510	1591122634515	OK	 
USER	rendimiento30	129	START	1591122634549	1591122634549
REQUEST	129		Home	1591122634549	1591122634554	OK	 
USER	rendimiento30	130	START	1591122634589	1591122634589
USER	rendimiento30	131	START	1591122634635	1591122634635
REQUEST	5		Login	1591122634654	1591122634656	OK	 
REQUEST	4		Login	1591122634636	1591122634638	OK	 
USER	rendimiento30	132	START	1591122634675	1591122634675
REQUEST	2		Login	1591122634570	1591122634572	OK	 
REQUEST	1		Login	1591122634581	1591122634584	OK	 
REQUEST	3		Login	1591122634589	1591122634592	OK	 
REQUEST	132		Home	1591122634679	1591122634697	OK	 
REQUEST	130		Home	1591122634590	1591122634702	OK	 
REQUEST	131		Home	1591122634636	1591122634705	OK	 
USER	rendimiento30	133	START	1591122634709	1591122634709
REQUEST	133		Home	1591122634710	1591122634715	OK	 
REQUEST	6		Login	1591122634741	1591122634743	OK	 
REQUEST	7		Login	1591122634747	1591122634749	OK	 
USER	rendimiento30	134	START	1591122634754	1591122634754
REQUEST	134		Home	1591122634755	1591122634759	OK	 
REQUEST	8		Login	1591122634760	1591122634762	OK	 
USER	rendimiento30	135	START	1591122634788	1591122634788
REQUEST	135		Home	1591122634789	1591122634794	OK	 
REQUEST	9		Login	1591122634799	1591122634801	OK	 
USER	rendimiento30	136	START	1591122634828	1591122634828
REQUEST	136		Home	1591122634829	1591122634834	OK	 
REQUEST	10		Login	1591122634839	1591122634840	OK	 
USER	rendimiento30	137	START	1591122634868	1591122634868
REQUEST	137		Home	1591122634869	1591122634876	OK	 
REQUEST	11		Login	1591122634888	1591122634890	OK	 
USER	rendimiento30	138	START	1591122634908	1591122634908
REQUEST	138		Home	1591122634909	1591122634913	OK	 
REQUEST	12		Login	1591122634928	1591122634930	OK	 
USER	rendimiento30	139	START	1591122634948	1591122634948
REQUEST	139		Home	1591122634949	1591122634954	OK	 
REQUEST	13		Login	1591122634958	1591122634960	OK	 
USER	rendimiento30	140	START	1591122634988	1591122634988
REQUEST	140		Home	1591122634989	1591122634993	OK	 
REQUEST	14		Login	1591122635008	1591122635010	OK	 
USER	rendimiento30	141	START	1591122635028	1591122635028
REQUEST	141		Home	1591122635029	1591122635034	OK	 
REQUEST	15		Login	1591122635048	1591122635050	OK	 
USER	rendimiento30	142	START	1591122635068	1591122635068
REQUEST	142		Home	1591122635069	1591122635075	OK	 
REQUEST	16		Login	1591122635078	1591122635080	OK	 
USER	rendimiento30	143	START	1591122635108	1591122635108
REQUEST	143		Home	1591122635109	1591122635113	OK	 
REQUEST	17		Login	1591122635119	1591122635122	OK	 
USER	rendimiento30	144	START	1591122635148	1591122635148
