ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento30	rendimiento30	1591122014600	 	3.3.1
USER	rendimiento30	75	START	1591122017247	1591122017247
REQUEST	75		Home	1591122017248	1591122017252	OK	 
USER	rendimiento30	76	START	1591122017267	1591122017267
REQUEST	76		Home	1591122017268	1591122017272	OK	 
USER	rendimiento30	77	START	1591122017288	1591122017288
REQUEST	77		Home	1591122017288	1591122017293	OK	 
USER	rendimiento30	78	START	1591122017309	1591122017309
REQUEST	78		Home	1591122017309	1591122017313	OK	 
USER	rendimiento30	79	START	1591122017329	1591122017329
REQUEST	79		Home	1591122017330	1591122017333	OK	 
USER	rendimiento30	80	START	1591122017350	1591122017350
REQUEST	80		Home	1591122017351	1591122017355	OK	 
USER	rendimiento30	81	START	1591122017371	1591122017371
REQUEST	81		Home	1591122017372	1591122017375	OK	 
USER	rendimiento30	82	START	1591122017387	1591122017387
REQUEST	82		Home	1591122017388	1591122017392	OK	 
USER	rendimiento30	83	START	1591122017408	1591122017408
REQUEST	83		Home	1591122017408	1591122017412	OK	 
USER	rendimiento30	84	START	1591122017429	1591122017429
REQUEST	84		Home	1591122017430	1591122017434	OK	 
USER	rendimiento30	85	START	1591122017450	1591122017450
REQUEST	85		Home	1591122017451	1591122017456	OK	 
USER	rendimiento30	86	START	1591122017470	1591122017470
REQUEST	86		Home	1591122017471	1591122017476	OK	 
USER	rendimiento30	87	START	1591122017490	1591122017490
REQUEST	87		Home	1591122017491	1591122017496	OK	 
USER	rendimiento30	88	START	1591122017510	1591122017510
REQUEST	88		Home	1591122017512	1591122017518	OK	 
USER	rendimiento30	89	START	1591122017530	1591122017530
REQUEST	89		Home	1591122017532	1591122017540	OK	 
USER	rendimiento30	90	START	1591122017551	1591122017551
REQUEST	90		Home	1591122017551	1591122017558	OK	 
USER	rendimiento30	91	START	1591122017570	1591122017570
REQUEST	91		Home	1591122017571	1591122017575	OK	 
USER	rendimiento30	92	START	1591122017590	1591122017590
REQUEST	92		Home	1591122017591	1591122017595	OK	 
USER	rendimiento30	93	START	1591122017610	1591122017610
REQUEST	93		Home	1591122017611	1591122017615	OK	 
USER	rendimiento30	94	START	1591122017630	1591122017630
REQUEST	94		Home	1591122017631	1591122017635	OK	 
USER	rendimiento30	95	START	1591122017650	1591122017650
REQUEST	95		Home	1591122017651	1591122017655	OK	 
USER	rendimiento30	96	START	1591122017670	1591122017670
REQUEST	96		Home	1591122017671	1591122017676	OK	 
USER	rendimiento30	97	START	1591122017690	1591122017690
REQUEST	97		Home	1591122017691	1591122017695	OK	 
USER	rendimiento30	98	START	1591122017710	1591122017710
REQUEST	98		Home	1591122017711	1591122017715	OK	 
USER	rendimiento30	99	START	1591122017730	1591122017730
REQUEST	99		Home	1591122017731	1591122017737	OK	 
USER	rendimiento30	100	START	1591122017750	1591122017750
REQUEST	100		Home	1591122017751	1591122017755	OK	 
USER	rendimiento30	103	START	1591122017761	1591122017761
REQUEST	103		Home	1591122017761	1591122017766	OK	 
USER	rendimiento30	101	START	1591122017770	1591122017770
REQUEST	101		Home	1591122017771	1591122017776	OK	 
USER	rendimiento30	102	START	1591122017791	1591122017791
REQUEST	102		Home	1591122017791	1591122017795	OK	 
USER	rendimiento30	104	START	1591122017801	1591122017801
REQUEST	104		Home	1591122017801	1591122017805	OK	 
USER	rendimiento30	105	START	1591122017821	1591122017821
REQUEST	105		Home	1591122017821	1591122017825	OK	 
USER	rendimiento30	106	START	1591122017841	1591122017841
REQUEST	106		Home	1591122017841	1591122017845	OK	 
USER	rendimiento30	107	START	1591122017861	1591122017861
REQUEST	107		Home	1591122017861	1591122017865	OK	 
USER	rendimiento30	108	START	1591122017881	1591122017881
REQUEST	108		Home	1591122017881	1591122017885	OK	 
USER	rendimiento30	109	START	1591122017901	1591122017901
REQUEST	109		Home	1591122017902	1591122017905	OK	 
USER	rendimiento30	110	START	1591122017921	1591122017921
REQUEST	110		Home	1591122017922	1591122017926	OK	 
USER	rendimiento30	111	START	1591122017941	1591122017941
REQUEST	111		Home	1591122017942	1591122017946	OK	 
USER	rendimiento30	112	START	1591122017961	1591122017961
REQUEST	112		Home	1591122017962	1591122017966	OK	 
USER	rendimiento30	113	START	1591122017981	1591122017981
REQUEST	113		Home	1591122017982	1591122017985	OK	 
USER	rendimiento30	114	START	1591122018001	1591122018001
REQUEST	114		Home	1591122018002	1591122018005	OK	 
USER	rendimiento30	115	START	1591122018021	1591122018021
REQUEST	115		Home	1591122018022	1591122018026	OK	 
USER	rendimiento30	116	START	1591122018041	1591122018041
REQUEST	116		Home	1591122018042	1591122018046	OK	 
USER	rendimiento30	117	START	1591122018061	1591122018061
REQUEST	117		Home	1591122018062	1591122018065	OK	 
USER	rendimiento30	118	START	1591122018081	1591122018081
REQUEST	118		Home	1591122018082	1591122018086	OK	 
USER	rendimiento30	119	START	1591122018101	1591122018101
REQUEST	119		Home	1591122018102	1591122018106	OK	 
USER	rendimiento30	120	START	1591122018121	1591122018121
REQUEST	120		Home	1591122018122	1591122018126	OK	 
USER	rendimiento30	121	START	1591122018142	1591122018142
REQUEST	121		Home	1591122018143	1591122018146	OK	 
USER	rendimiento30	122	START	1591122018162	1591122018162
REQUEST	122		Home	1591122018162	1591122018166	OK	 
USER	rendimiento30	123	START	1591122018182	1591122018182
REQUEST	123		Home	1591122018182	1591122018186	OK	 
USER	rendimiento30	124	START	1591122018202	1591122018202
REQUEST	124		Home	1591122018203	1591122018207	OK	 
USER	rendimiento30	125	START	1591122018217	1591122018217
REQUEST	125		Home	1591122018218	1591122018224	OK	 
USER	rendimiento30	127	START	1591122018257	1591122018257
REQUEST	127		Home	1591122018258	1591122018263	OK	 
USER	rendimiento30	126	START	1591122018237	1591122018237
REQUEST	126		Home	1591122018266	1591122018271	OK	 
USER	rendimiento30	128	START	1591122018277	1591122018277
REQUEST	128		Home	1591122018278	1591122018283	OK	 
USER	rendimiento30	129	START	1591122018297	1591122018297
REQUEST	129		Home	1591122018298	1591122018302	OK	 
USER	rendimiento30	130	START	1591122018317	1591122018317
REQUEST	130		Home	1591122018318	1591122018322	OK	 
USER	rendimiento30	131	START	1591122018337	1591122018337
REQUEST	131		Home	1591122018338	1591122018341	OK	 
USER	rendimiento30	132	START	1591122018357	1591122018357
REQUEST	132		Home	1591122018358	1591122018362	OK	 
USER	rendimiento30	133	START	1591122018377	1591122018377
REQUEST	133		Home	1591122018391	1591122018396	OK	 
USER	rendimiento30	134	START	1591122018400	1591122018400
REQUEST	134		Home	1591122018401	1591122018406	OK	 
USER	rendimiento30	135	START	1591122018420	1591122018420
REQUEST	135		Home	1591122018421	1591122018425	OK	 
USER	rendimiento30	136	START	1591122018440	1591122018440
REQUEST	136		Home	1591122018441	1591122018445	OK	 
USER	rendimiento30	137	START	1591122018460	1591122018460
REQUEST	137		Home	1591122018461	1591122018464	OK	 
USER	rendimiento30	138	START	1591122018480	1591122018480
REQUEST	138		Home	1591122018481	1591122018484	OK	 
USER	rendimiento30	139	START	1591122018500	1591122018500
REQUEST	139		Home	1591122018501	1591122018505	OK	 
USER	rendimiento30	140	START	1591122018521	1591122018521
REQUEST	140		Home	1591122018522	1591122018526	OK	 
USER	rendimiento30	141	START	1591122018541	1591122018541
REQUEST	141		Home	1591122018542	1591122018546	OK	 
USER	rendimiento30	142	START	1591122018561	1591122018561
REQUEST	142		Home	1591122018562	1591122018567	OK	 
USER	rendimiento30	143	START	1591122018581	1591122018581
REQUEST	143		Home	1591122018582	1591122018586	OK	 
USER	rendimiento30	144	START	1591122018601	1591122018601
REQUEST	144		Home	1591122018602	1591122018606	OK	 
USER	rendimiento30	145	START	1591122018622	1591122018622
REQUEST	145		Home	1591122018622	1591122018626	OK	 
USER	rendimiento30	146	START	1591122018642	1591122018642
REQUEST	146		Home	1591122018642	1591122018647	OK	 
USER	rendimiento30	147	START	1591122018662	1591122018662
REQUEST	147		Home	1591122018662	1591122018666	OK	 
USER	rendimiento30	148	START	1591122018682	1591122018682
REQUEST	148		Home	1591122018682	1591122018686	OK	 
USER	rendimiento30	149	START	1591122018702	1591122018702
REQUEST	149		Home	1591122018702	1591122018706	OK	 
USER	rendimiento30	150	START	1591122018722	1591122018722
REQUEST	150		Home	1591122018722	1591122018726	OK	 
USER	rendimiento30	151	START	1591122018742	1591122018742
REQUEST	151		Home	1591122018742	1591122018746	OK	 
USER	rendimiento30	152	START	1591122018762	1591122018762
REQUEST	152		Home	1591122018762	1591122018766	OK	 
USER	rendimiento30	153	START	1591122018782	1591122018782
REQUEST	153		Home	1591122018782	1591122018786	OK	 
USER	rendimiento30	154	START	1591122018802	1591122018802
REQUEST	154		Home	1591122018803	1591122018807	OK	 
USER	rendimiento30	155	START	1591122018822	1591122018822
REQUEST	155		Home	1591122018822	1591122018826	OK	 
USER	rendimiento30	156	START	1591122018842	1591122018842
REQUEST	156		Home	1591122018842	1591122018846	OK	 
USER	rendimiento30	157	START	1591122018862	1591122018862
REQUEST	157		Home	1591122018862	1591122018866	OK	 
USER	rendimiento30	158	START	1591122018882	1591122018882
REQUEST	158		Home	1591122018882	1591122018886	OK	 
USER	rendimiento30	159	START	1591122018902	1591122018902
REQUEST	159		Home	1591122018903	1591122018915	OK	 
USER	rendimiento30	160	START	1591122018922	1591122018922
REQUEST	160		Home	1591122018922	1591122018927	OK	 
USER	rendimiento30	161	START	1591122018942	1591122018942
REQUEST	161		Home	1591122018943	1591122018946	OK	 
USER	rendimiento30	162	START	1591122018962	1591122018962
REQUEST	162		Home	1591122018962	1591122018966	OK	 
USER	rendimiento30	163	START	1591122018982	1591122018982
REQUEST	163		Home	1591122018983	1591122018986	OK	 
USER	rendimiento30	164	START	1591122018997	1591122018997
REQUEST	164		Home	1591122018998	1591122019001	OK	 
USER	rendimiento30	165	START	1591122019017	1591122019017
REQUEST	165		Home	1591122019018	1591122019021	OK	 
USER	rendimiento30	166	START	1591122019037	1591122019037
REQUEST	166		Home	1591122019038	1591122019041	OK	 
USER	rendimiento30	167	START	1591122019057	1591122019057
REQUEST	167		Home	1591122019058	1591122019061	OK	 
USER	rendimiento30	168	START	1591122019077	1591122019077
REQUEST	168		Home	1591122019078	1591122019081	OK	 
USER	rendimiento30	169	START	1591122019097	1591122019097
REQUEST	169		Home	1591122019098	1591122019102	OK	 
USER	rendimiento30	170	START	1591122019117	1591122019117
REQUEST	170		Home	1591122019118	1591122019122	OK	 
USER	rendimiento30	171	START	1591122019137	1591122019137
REQUEST	171		Home	1591122019138	1591122019143	OK	 
USER	rendimiento30	172	START	1591122019157	1591122019157
REQUEST	172		Home	1591122019158	1591122019163	OK	 
USER	rendimiento30	173	START	1591122019177	1591122019177
REQUEST	173		Home	1591122019178	1591122019181	OK	 
USER	rendimiento30	174	START	1591122019198	1591122019198
REQUEST	174		Home	1591122019199	1591122019202	OK	 
USER	rendimiento30	175	START	1591122019218	1591122019218
REQUEST	175		Home	1591122019219	1591122019223	OK	 
USER	rendimiento30	176	START	1591122019239	1591122019239
REQUEST	176		Home	1591122019239	1591122019242	OK	 
USER	rendimiento30	177	START	1591122019259	1591122019259
REQUEST	177		Home	1591122019259	1591122019263	OK	 
USER	rendimiento30	178	START	1591122019279	1591122019279
REQUEST	178		Home	1591122019279	1591122019283	OK	 
USER	rendimiento30	179	START	1591122019299	1591122019299
REQUEST	179		Home	1591122019299	1591122019303	OK	 
USER	rendimiento30	180	START	1591122019319	1591122019319
REQUEST	180		Home	1591122019320	1591122019323	OK	 
USER	rendimiento30	181	START	1591122019339	1591122019339
REQUEST	181		Home	1591122019340	1591122019343	OK	 
USER	rendimiento30	182	START	1591122019359	1591122019359
REQUEST	182		Home	1591122019360	1591122019365	OK	 
USER	rendimiento30	183	START	1591122019379	1591122019379
REQUEST	183		Home	1591122019380	1591122019384	OK	 
USER	rendimiento30	184	START	1591122019399	1591122019399
REQUEST	184		Home	1591122019400	1591122019415	OK	 
USER	rendimiento30	185	START	1591122019419	1591122019419
REQUEST	185		Home	1591122019420	1591122019424	OK	 
USER	rendimiento30	186	START	1591122019439	1591122019439
REQUEST	186		Home	1591122019440	1591122019445	OK	 
USER	rendimiento30	187	START	1591122019459	1591122019459
REQUEST	187		Home	1591122019460	1591122019464	OK	 
USER	rendimiento30	188	START	1591122019479	1591122019479
REQUEST	188		Home	1591122019480	1591122019484	OK	 
USER	rendimiento30	189	START	1591122019499	1591122019499
REQUEST	189		Home	1591122019500	1591122019504	OK	 
USER	rendimiento30	190	START	1591122019519	1591122019519
REQUEST	190		Home	1591122019520	1591122019524	OK	 
USER	rendimiento30	191	START	1591122019540	1591122019540
REQUEST	191		Home	1591122019541	1591122019546	OK	 
USER	rendimiento30	192	START	1591122019560	1591122019560
REQUEST	192		Home	1591122019561	1591122019565	OK	 
USER	rendimiento30	193	START	1591122019581	1591122019581
REQUEST	193		Home	1591122019582	1591122019587	OK	 
USER	rendimiento30	194	START	1591122019601	1591122019601
REQUEST	194		Home	1591122019602	1591122019606	OK	 
USER	rendimiento30	195	START	1591122019621	1591122019621
REQUEST	195		Home	1591122019622	1591122019626	OK	 
USER	rendimiento30	196	START	1591122019642	1591122019642
REQUEST	196		Home	1591122019643	1591122019646	OK	 
USER	rendimiento30	197	START	1591122019661	1591122019661
REQUEST	197		Home	1591122019662	1591122019665	OK	 
USER	rendimiento30	198	START	1591122019681	1591122019681
REQUEST	198		Home	1591122019682	1591122019685	OK	 
USER	rendimiento30	199	START	1591122019702	1591122019702
REQUEST	199		Home	1591122019703	1591122019707	OK	 
USER	rendimiento30	200	START	1591122019722	1591122019722
REQUEST	200		Home	1591122019722	1591122019726	OK	 
USER	rendimiento30	201	START	1591122019742	1591122019742
REQUEST	201		Home	1591122019742	1591122019746	OK	 
USER	rendimiento30	202	START	1591122019762	1591122019762
REQUEST	202		Home	1591122019762	1591122019766	OK	 
USER	rendimiento30	203	START	1591122019782	1591122019782
REQUEST	203		Home	1591122019782	1591122019786	OK	 
USER	rendimiento30	204	START	1591122019802	1591122019802
REQUEST	204		Home	1591122019802	1591122019806	OK	 
USER	rendimiento30	205	START	1591122019822	1591122019822
REQUEST	205		Home	1591122019822	1591122019826	OK	 
USER	rendimiento30	206	START	1591122019842	1591122019842
REQUEST	206		Home	1591122019842	1591122019845	OK	 
USER	rendimiento30	207	START	1591122019862	1591122019862
REQUEST	207		Home	1591122019862	1591122019866	OK	 
USER	rendimiento30	208	START	1591122019882	1591122019882
REQUEST	208		Home	1591122019882	1591122019888	OK	 
USER	rendimiento30	209	START	1591122019897	1591122019897
REQUEST	209		Home	1591122019898	1591122019901	OK	 
USER	rendimiento30	210	START	1591122019917	1591122019917
REQUEST	210		Home	1591122019918	1591122019921	OK	 
USER	rendimiento30	211	START	1591122019937	1591122019937
REQUEST	211		Home	1591122019938	1591122019941	OK	 
USER	rendimiento30	212	START	1591122019957	1591122019957
REQUEST	212		Home	1591122019958	1591122019961	OK	 
USER	rendimiento30	213	START	1591122019977	1591122019977
REQUEST	213		Home	1591122019978	1591122019981	OK	 
USER	rendimiento30	214	START	1591122019998	1591122019998
REQUEST	214		Home	1591122019999	1591122020002	OK	 
USER	rendimiento30	215	START	1591122020019	1591122020019
REQUEST	215		Home	1591122020020	1591122020023	OK	 
USER	rendimiento30	216	START	1591122020039	1591122020039
REQUEST	216		Home	1591122020040	1591122020043	OK	 
USER	rendimiento30	217	START	1591122020059	1591122020059
REQUEST	217		Home	1591122020060	1591122020064	OK	 
USER	rendimiento30	218	START	1591122020079	1591122020079
REQUEST	218		Home	1591122020080	1591122020084	OK	 
USER	rendimiento30	219	START	1591122020100	1591122020100
REQUEST	219		Home	1591122020100	1591122020103	OK	 
USER	rendimiento30	220	START	1591122020120	1591122020120
REQUEST	220		Home	1591122020120	1591122020124	OK	 
USER	rendimiento30	221	START	1591122020140	1591122020140
REQUEST	221		Home	1591122020140	1591122020144	OK	 
USER	rendimiento30	222	START	1591122020160	1591122020160
REQUEST	222		Home	1591122020161	1591122020164	OK	 
USER	rendimiento30	223	START	1591122020180	1591122020180
REQUEST	223		Home	1591122020181	1591122020193	OK	 
USER	rendimiento30	224	START	1591122020200	1591122020200
REQUEST	224		Home	1591122020201	1591122020204	OK	 
USER	rendimiento30	225	START	1591122020220	1591122020220
REQUEST	225		Home	1591122020221	1591122020225	OK	 
USER	rendimiento30	226	START	1591122020240	1591122020240
REQUEST	226		Home	1591122020241	1591122020246	OK	 
USER	rendimiento30	227	START	1591122020260	1591122020260
REQUEST	227		Home	1591122020261	1591122020264	OK	 
USER	rendimiento30	228	START	1591122020280	1591122020280
REQUEST	228		Home	1591122020281	1591122020284	OK	 
USER	rendimiento30	229	START	1591122020300	1591122020300
REQUEST	229		Home	1591122020301	1591122020304	OK	 
USER	rendimiento30	230	START	1591122020320	1591122020320
REQUEST	230		Home	1591122020321	1591122020324	OK	 
USER	rendimiento30	231	START	1591122020341	1591122020341
REQUEST	231		Home	1591122020341	1591122020345	OK	 
USER	rendimiento30	232	START	1591122020361	1591122020361
REQUEST	232		Home	1591122020361	1591122020365	OK	 
USER	rendimiento30	233	START	1591122020381	1591122020381
REQUEST	233		Home	1591122020381	1591122020385	OK	 
USER	rendimiento30	234	START	1591122020401	1591122020401
REQUEST	234		Home	1591122020402	1591122020419	OK	 
USER	rendimiento30	235	START	1591122020421	1591122020421
REQUEST	235		Home	1591122020422	1591122020426	OK	 
USER	rendimiento30	236	START	1591122020441	1591122020441
REQUEST	236		Home	1591122020442	1591122020447	OK	 
USER	rendimiento30	237	START	1591122020461	1591122020461
REQUEST	237		Home	1591122020462	1591122020465	OK	 
USER	rendimiento30	238	START	1591122020481	1591122020481
REQUEST	238		Home	1591122020481	1591122020485	OK	 
USER	rendimiento30	239	START	1591122020501	1591122020501
REQUEST	239		Home	1591122020501	1591122020505	OK	 
USER	rendimiento30	240	START	1591122020521	1591122020521
REQUEST	240		Home	1591122020521	1591122020525	OK	 
USER	rendimiento30	241	START	1591122020541	1591122020541
REQUEST	241		Home	1591122020541	1591122020545	OK	 
USER	rendimiento30	242	START	1591122020561	1591122020561
REQUEST	242		Home	1591122020561	1591122020565	OK	 
USER	rendimiento30	243	START	1591122020581	1591122020581
REQUEST	243		Home	1591122020581	1591122020585	OK	 
USER	rendimiento30	244	START	1591122020601	1591122020601
REQUEST	244		Home	1591122020602	1591122020605	OK	 
USER	rendimiento30	245	START	1591122020621	1591122020621
REQUEST	245		Home	1591122020622	1591122020626	OK	 
USER	rendimiento30	246	START	1591122020641	1591122020641
REQUEST	246		Home	1591122020642	1591122020645	OK	 
USER	rendimiento30	247	START	1591122020661	1591122020661
REQUEST	247		Home	1591122020662	1591122020665	OK	 
USER	rendimiento30	248	START	1591122020681	1591122020681
REQUEST	248		Home	1591122020696	1591122020701	OK	 
USER	rendimiento30	249	START	1591122020701	1591122020701
REQUEST	249		Home	1591122020703	1591122020707	OK	 
USER	rendimiento30	250	START	1591122020718	1591122020718
REQUEST	250		Home	1591122020719	1591122020725	OK	 
USER	rendimiento30	251	START	1591122020738	1591122020738
REQUEST	251		Home	1591122020739	1591122020745	OK	 
USER	rendimiento30	252	START	1591122020758	1591122020758
REQUEST	252		Home	1591122020759	1591122020764	OK	 
